Feature-Set;NSHAP-Value
age;-0.0754
race;0.0204
sex;0.0286
hypertension;-0.0028
hyperlipidemia;-0.0131
diabetes;-0.0042
coronary.artery.disease;0.0386
chf;-0.0098
cerebrovascular.disease;0.0029
hepatitis;0.0018
endstage.renal.disease;-0.0027
chronic.kidney.disease;-0.0016
asthma;-0.0029
copd;-0.0033
dementia;0.0010
cancer;0.0050
age,race;0.0082
age,sex;-0.0349
age,hypertension;-0.0056
age,hyperlipidemia;-0.0071
age,diabetes;-0.0287
age,coronary.artery.disease;0.0031
age,chf;-0.0051
age,cerebrovascular.disease;0.0012
age,hepatitis;0.0005
age,endstage.renal.disease;0.0011
age,chronic.kidney.disease;0.0017
age,asthma;0.0006
age,copd;-0.0008
age,dementia;0.0047
age,cancer;0.0010
race,sex;0.0047
race,hypertension;-0.0329
race,hyperlipidemia;-0.0026
race,diabetes;-0.0017
race,coronary.artery.disease;-0.0151
race,chf;0.0044
race,cerebrovascular.disease;0.0023
race,hepatitis;-0.0003
race,endstage.renal.disease;-0.0005
race,chronic.kidney.disease;-0.0013
race,asthma;0.0007
race,copd;0.0030
race,dementia;0.0018
race,cancer;0.0005
sex,hypertension;-0.0148
sex,hyperlipidemia;-0.0015
sex,diabetes;-0.0142
sex,coronary.artery.disease;0.0078
sex,chf;0.0029
sex,cerebrovascular.disease;0.0005
sex,hepatitis;0.0000
sex,endstage.renal.disease;0.0024
sex,chronic.kidney.disease;-0.0009
sex,asthma;-0.0011
sex,copd;-0.0013
sex,dementia;-0.0018
sex,cancer;-0.0018
hypertension,hyperlipidemia;-0.0011
hypertension,diabetes;-0.0079
hypertension,coronary.artery.disease;-0.0016
hypertension,chf;0.0023
hypertension,cerebrovascular.disease;0.0012
hypertension,hepatitis;0.0012
hypertension,endstage.renal.disease;0.0004
hypertension,chronic.kidney.disease;-0.0006
hypertension,asthma;0.0003
hypertension,copd;0.0020
hypertension,dementia;-0.0046
hypertension,cancer;-0.0003
hyperlipidemia,diabetes;-0.0068
hyperlipidemia,coronary.artery.disease;0.0067
hyperlipidemia,chf;-0.0039
hyperlipidemia,cerebrovascular.disease;0.0001
hyperlipidemia,hepatitis;-0.0004
hyperlipidemia,endstage.renal.disease;-0.0001
hyperlipidemia,chronic.kidney.disease;-0.0028
hyperlipidemia,asthma;0.0011
hyperlipidemia,copd;0.0009
hyperlipidemia,dementia;-0.0021
hyperlipidemia,cancer;0.0007
diabetes,coronary.artery.disease;0.0046
diabetes,chf;0.0037
diabetes,cerebrovascular.disease;0.0000
diabetes,hepatitis;-0.0008
diabetes,endstage.renal.disease;-0.0001
diabetes,chronic.kidney.disease;0.0035
diabetes,asthma;-0.0006
diabetes,copd;-0.0014
diabetes,dementia;0.0003
diabetes,cancer;-0.0017
coronary.artery.disease,chf;0.0082
coronary.artery.disease,cerebrovascular.disease;0.0005
coronary.artery.disease,hepatitis;0.0005
coronary.artery.disease,endstage.renal.disease;-0.0003
coronary.artery.disease,chronic.kidney.disease;0.0016
coronary.artery.disease,asthma;0.0011
coronary.artery.disease,copd;0.0025
coronary.artery.disease,dementia;-0.0020
coronary.artery.disease,cancer;0.0023
chf,cerebrovascular.disease;-0.0008
chf,hepatitis;-0.0002
chf,endstage.renal.disease;-0.0007
chf,chronic.kidney.disease;-0.0025
chf,asthma;-0.0006
chf,copd;-0.0002
chf,dementia;-0.0018
chf,cancer;0.0005
cerebrovascular.disease,hepatitis;0.0002
cerebrovascular.disease,endstage.renal.disease;0.0003
cerebrovascular.disease,chronic.kidney.disease;0.0003
cerebrovascular.disease,asthma;0.0001
cerebrovascular.disease,copd;0.0003
cerebrovascular.disease,dementia;-0.0004
cerebrovascular.disease,cancer;0.0000
hepatitis,endstage.renal.disease;-0.0001
hepatitis,chronic.kidney.disease;0.0001
hepatitis,asthma;-0.0001
hepatitis,copd;0.0001
hepatitis,dementia;-0.0002
hepatitis,cancer;0.0001
endstage.renal.disease,chronic.kidney.disease;0.0004
endstage.renal.disease,asthma;0.0002
endstage.renal.disease,copd;0.0001
endstage.renal.disease,dementia;-0.0004
endstage.renal.disease,cancer;0.0001
chronic.kidney.disease,asthma;-0.0009
chronic.kidney.disease,copd;-0.0011
chronic.kidney.disease,dementia;-0.0003
chronic.kidney.disease,cancer;-0.0007
asthma,copd;0.0025
asthma,dementia;-0.0001
asthma,cancer;0.0002
copd,dementia;-0.0010
copd,cancer;-0.0003
dementia,cancer;-0.0010
age,race,sex;-0.0379
age,race,hypertension;-0.0092
age,race,hyperlipidemia;0.0053
age,race,diabetes;0.0267
age,race,coronary.artery.disease;0.0294
