Features;Individual Effect;Interaction Effect
diabetes:Yes,age:55.00,hypertension:Yes;0.1025574429808615;0.1863276134021379
hyperlipidemia:No,coronary.artery.disease:No;0.0459582288306917;0.0193047890692092
race:black;0.0402138541744849;0.0
sex:male;-0.0367881346707743;0.0
copd:No;0.0278300601364057;0.0
cerebrovascular.disease:No,endstage.renal.disease:No;0.0104554240301002;0.0170989509407237
cancer:No;0.0117319014244329;0.0
hepatitis:No;0.0095039188208935;0.0
asthma:No;-0.0032931015704981;0.0
chf:No;-0.0028861838558502;0.0
chronic.kidney.disease:No,dementia:No;0.0004370572147258;-3.231333202846978e-05
