Features;NSHAP-Value
age:55.00;0.1514
race:black;0.0263
sex:male;-0.0434
hypertension:Yes;-0.0034
hyperlipidemia:No;-0.0067
diabetes:Yes;-0.0473
coronary.artery.disease:No;0.0467
chf:No;-0.0069
cerebrovascular.disease:No;0.0043
hepatitis:No;0.0019
endstage:55.00.renal.disease;-0.0014
chronic.kidney.disease:No;0.0005
asthma:No;-0.0024
copd:No;-0.0025
dementia:No;0.0024
cancer:No;0.0061
age:55.00,race:black;-0.0407
age:55.00,sex:male;0.0219
age:55.00,hypertension:Yes;0.0781
age:55.00,hyperlipidemia:No;0.0016
age:55.00,diabetes:Yes;0.0483
age:55.00,coronary.artery.disease:No;-0.0144
age:55.00,chf:No;0.0155
age:55.00,cerebrovascular.disease:No;0.0016
age:55.00,hepatitis:No;-0.0005
age:55.00,endstage:55.00.renal.disease;0.0017
age:55.00,chronic.kidney.disease:No;0.0013
age:55.00,asthma:No;0.0023
age:55.00,copd:No;0.0061
age:55.00,dementia:No;0.0083
age:55.00,cancer:No;0.0046
race:black,sex:male;0.0026
race:black,hypertension:Yes;-0.033
race:black,hyperlipidemia:No;0.001
race:black,diabetes:Yes;-0.0216
race:black,coronary.artery.disease:No;-0.0109
race:black,chf:No;0.0058
race:black,cerebrovascular.disease:No;0.0029
race:black,hepatitis:No;-0.0002
race:black,endstage:55.00.renal.disease;False
race:black,chronic.kidney.disease:No;-0.0001
race:black,asthma:No;0.0009
race:black,copd:No;0.0031
race:black,dementia:No;0.0023
race:black,cancer:No;0.001
sex:male,hypertension:Yes;0.0142
sex:male,hyperlipidemia:No;-0.0019
sex:male,diabetes:Yes;-0.0267
sex:male,coronary.artery.disease:No;-0.003
sex:male,chf:No;-0.0027
sex:male,cerebrovascular.disease:No;-0.0017
sex:male,hepatitis:No;-0.0004
sex:male,endstage:55.00.renal.disease;-0.0006
sex:male,chronic.kidney.disease:No;0.0013
sex:male,asthma:No;0.0009
sex:male,copd:No;0.0002
sex:male,dementia:No;0.004
sex:male,cancer:No;0.0011
hypertension:Yes,hyperlipidemia:No;-0.0009
hypertension:Yes,diabetes:Yes;0.0454
hypertension:Yes,coronary.artery.disease:No;-0.0009
hypertension:Yes,chf:No;0.0021
hypertension:Yes,cerebrovascular.disease:No;0.0012
hypertension:Yes,hepatitis:No;0.0012
hypertension:Yes,endstage:55.00.renal.disease;0.0005
hypertension:Yes,chronic.kidney.disease:No;-0.0002
